filename,family,name,peakDbfs,rmsDbfs,crestDb,dcOffset,stereoCorrelation,centroidHz,lowRatio,midRatio,highRatio,envMotionDb,centroidMotionHz,loopClickEnergy,clippedSamples,issues
085 - Bell -  Metallophone.acp,Bell,Bell / Metallophone,3.09,-16.54,19.63,-0.000000,0.8867,3157.2,0.0083,0.4739,0.5179,16.712,993.6,0.0000,221,hard clipping (221 samples)
086 - Bell -  Kalimba Tone.acp,Bell,Bell / Kalimba Tone,1.82,-16.30,18.12,0.000000,0.9028,2083.3,0.0058,0.5747,0.4195,15.846,581.4,0.0000,186,hard clipping (186 samples)
087 - Bell -  Chime.acp,Bell,Bell / Chime,2.04,-15.86,17.90,-0.000000,0.9049,2057.6,0.0066,0.5775,0.4159,17.466,496.2,0.0000,215,hard clipping (215 samples)
088 - Bell -  Vibraphone Tone.acp,Bell,Bell / Vibraphone Tone,1.00,-16.72,17.72,-0.000000,0.8875,2113.8,0.0067,0.5701,0.4233,12.355,626.7,0.0000,48,hard clipping (48 samples)
089 - Bell -  Marimba Tone.acp,Bell,Bell / Marimba Tone,2.36,-15.46,17.82,0.000000,0.9042,2042.7,0.0057,0.5879,0.4064,15.229,576.9,0.0000,366,hard clipping (366 samples)
090 - Bell -  Soft Glass.acp,Bell,Bell / Soft Glass,2.52,-15.66,18.18,0.000000,0.9055,2067.3,0.0057,0.5717,0.4226,19.431,480.4,0.0000,269,hard clipping (269 samples)
091 - Bell -  Hard Glass.acp,Bell,Bell / Hard Glass,2.05,-16.84,18.89,0.000000,0.8878,3425.1,0.0079,0.4186,0.5735,18.520,823.1,0.0000,141,hard clipping (141 samples)
092 - Bell -  Digital Bell.acp,Bell,Bell / Digital Bell,2.54,-16.97,19.51,0.000000,0.8851,3220.5,0.0085,0.4690,0.5225,17.515,993.8,0.0000,108,hard clipping (108 samples)
093 - Bell -  Detuned Bell.acp,Bell,Bell / Detuned Bell,2.28,-16.65,18.93,0.000000,0.7765,3269.7,0.0076,0.4621,0.5304,17.358,811.3,0.0000,80,hard clipping (80 samples)
094 - Bell -  Noisy Mallet.acp,Bell,Bell / Noisy Mallet,-50.41,-68.13,17.72,0.000000,0.8688,6376.8,0.2668,0.1855,0.5477,5.763,1431.7,0.0000,0,silent or near-silent (peak -50.4 dBFS)
095 - Bell -  Cinematic Ping.acp,Bell,Bell / Cinematic Ping,0.56,-18.37,18.93,-0.000000,0.7638,3277.8,0.0087,0.4454,0.5459,12.356,1142.6,0.0000,4,
096 - Bell -  Low Metal Thunk.acp,Bell,Bell / Low Metal Thunk,-29.58,-50.46,20.88,-0.000000,0.8913,1609.9,0.1034,0.8104,0.0862,11.917,265.6,0.0000,0,
097 - Ensemble -  Synth String.acp,Ensemble,Ensemble / Synth String,5.87,-5.13,11.01,-0.000006,0.8285,3749.1,0.0344,0.4249,0.5407,2.999,201.3,0.5480,39778,hard clipping (39778 samples); loop seam click 0.548
098 - Ensemble -  Soft String.acp,Ensemble,Ensemble / Soft String,4.70,-6.62,11.32,-0.000001,0.8048,3797.1,0.0349,0.4260,0.5392,2.924,177.4,0.2476,15304,hard clipping (15304 samples)
099 - Ensemble -  Bright String.acp,Ensemble,Ensemble / Bright String,5.76,-5.55,11.31,0.000004,0.7857,4094.5,0.0368,0.4082,0.5550,3.342,192.5,0.2416,33093,hard clipping (33093 samples)
