filename,family,name,peakDbfs,rmsDbfs,crestDb,dcOffset,stereoCorrelation,centroidHz,lowRatio,midRatio,highRatio,envMotionDb,centroidMotionHz,loopClickEnergy,clippedSamples,issues
021 - Pad -  Bowed Pad.acp,Pad,Pad / Bowed Pad,-4.30,-16.90,12.60,0.000000,0.8632,1083.4,0.0011,0.8941,0.1047,10.710,342.9,0.3576,0,
022 - Pad -  Metallic Pad.acp,Pad,Pad / Metallic Pad,-21.30,-41.78,20.48,-0.000000,0.8446,10594.1,0.0000,0.0194,0.9806,8.904,905.0,0.1901,0,
023 - Pad -  Halo Pad.acp,Pad,Pad / Halo Pad,-27.91,-46.68,18.77,-0.000000,0.7935,9027.4,0.0000,0.0307,0.9693,6.775,976.2,0.0241,0,
024 - Pad -  Sweep Pad.acp,Pad,Pad / Sweep Pad,-2.56,-16.68,14.12,-0.000001,0.8340,1467.8,0.0024,0.7730,0.2246,8.998,93.7,0.0225,0,
025 - Pluck -  Nylon Guitar.acp,Pluck,Pluck / Nylon Guitar,-4.03,-20.94,16.91,-0.000000,0.9450,2281.9,0.0210,0.6768,0.3022,10.250,540.1,0.0000,0,
026 - Pluck -  Steel Guitar.acp,Pluck,Pluck / Steel Guitar,-3.99,-23.07,19.09,-0.000003,0.9521,2964.2,0.0111,0.5524,0.4365,5.355,1209.7,0.0000,0,
027 - Pluck -  Jazz Guitar.acp,Pluck,Pluck / Jazz Guitar,-3.86,-23.29,19.43,0.000000,0.9411,3172.0,0.0114,0.3290,0.6596,6.057,515.3,0.0000,0,
028 - Pluck -  Clean Guitar.acp,Pluck,Pluck / Clean Guitar,-4.53,-21.96,17.43,-0.000000,0.9500,2962.9,0.0016,0.2460,0.7524,6.252,431.9,0.0000,0,
029 - Pluck -  Muted Guitar.acp,Pluck,Pluck / Muted Guitar,-4.74,-25.73,20.99,-0.000000,0.9348,2477.0,0.0046,0.5290,0.4664,15.663,426.4,0.0000,0,
030 - Pluck -  Harp.acp,Pluck,Pluck / Harp,-4.82,-16.65,11.82,-0.000000,0.9685,727.1,0.0029,0.9615,0.0357,14.657,119.5,0.0000,0,
